yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Anna,http://www.boatinternational.com/yachts/the-superyacht-directory/anna--66729,Feadship, 67.00m , 2007 , 17kts , 15kts , 6500nm , 13.1m , 12 , 16 
Siran,http://www.boatinternational.com/yachts/the-superyacht-directory/siran--66763,Feadship, 67.01m , 1991 , 16kts , 14kts ,, 10.3m ,,
Explorer,http://www.boatinternational.com/yachts/the-superyacht-directory/danah-explorer--70467,Candies Shipbuilders, 67.00m , 1981 , 12kts , 10kts , 12200nm , 11.6m , 4 , 9 
Global,http://www.boatinternational.com/yachts/the-superyacht-directory/global--74011,Bender, 67.06m , 1982 , 13kts , 10kts , 10000nm , 12.2m , 12 , 12 
Falcon Lair,http://www.boatinternational.com/yachts/the-superyacht-directory/falcon-lair--66649,Feadship, 67.21m , 1983 , 18kts , 15kts , 3800nm , 9.68m , 10 , 16 
Vertigo,http://www.boatinternational.com/yachts/the-superyacht-directory/vertigo--37791,Alloy Yachts, 67.20m , 2011 , 14kts , 12kts ,, 12.53m , 12 , 12 
Drizzle,http://www.boatinternational.com/yachts/the-superyacht-directory/drizzle--66755,Feadship, 67.27m , 2012 , 15kts , 12kts ,, 11.4m , 10 , 17 
Archimedes,http://www.boatinternational.com/yachts/the-superyacht-directory/archimedes--66605,Feadship, 66.75m , 2008 , 16kts , 14kts ,, 12.3m , 16 , 16 
Alwaeli,http://www.boatinternational.com/yachts/the-superyacht-directory/alwaeli--68609,CRN, 68.00m , 1991 , 20kts , 17kts , 6000nm , 11.52m , 23 , 17 
Lady Christine,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-christine--66613,Feadship, 68.00m , 2010 ,,,, 12.5m , 10 , 16 
Anna,http://www.boatinternational.com/yachts/the-superyacht-directory/anna--66729,Feadship, 67.00m , 2007 , 17kts , 15kts , 6500nm , 13.1m , 12 , 16 
Siran,http://www.boatinternational.com/yachts/the-superyacht-directory/siran--66763,Feadship, 67.01m , 1991 , 16kts , 14kts ,, 10.3m ,,
Explorer,http://www.boatinternational.com/yachts/the-superyacht-directory/danah-explorer--70467,Candies Shipbuilders, 67.00m , 1981 , 12kts , 10kts , 12200nm , 11.6m , 4 , 9 
Global,http://www.boatinternational.com/yachts/the-superyacht-directory/global--74011,Bender, 67.06m , 1982 , 13kts , 10kts , 10000nm , 12.2m , 12 , 12 
Falcon Lair,http://www.boatinternational.com/yachts/the-superyacht-directory/falcon-lair--66649,Feadship, 67.21m , 1983 , 18kts , 15kts , 3800nm , 9.68m , 10 , 16 
Vertigo,http://www.boatinternational.com/yachts/the-superyacht-directory/vertigo--37791,Alloy Yachts, 67.20m , 2011 , 14kts , 12kts ,, 12.53m , 12 , 12 
Drizzle,http://www.boatinternational.com/yachts/the-superyacht-directory/drizzle--66755,Feadship, 67.27m , 2012 , 15kts , 12kts ,, 11.4m , 10 , 17 
Archimedes,http://www.boatinternational.com/yachts/the-superyacht-directory/archimedes--66605,Feadship, 66.75m , 2008 , 16kts , 14kts ,, 12.3m , 16 , 16 
Alwaeli,http://www.boatinternational.com/yachts/the-superyacht-directory/alwaeli--68609,CRN, 68.00m , 1991 , 20kts , 17kts , 6000nm , 11.52m , 23 , 17 
Lady Christine,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-christine--66613,Feadship, 68.00m , 2010 ,,,, 12.5m , 10 , 16 
Aviva III,http://www.boatinternational.com/yachts/the-superyacht-directory/aviva-iii--72775,Abeking & Rasmussen, 68.00m , 2007 , 16kts , 14kts , 6000nm , 12.4m , 12 , 28 
Sycara V,http://www.boatinternational.com/yachts/the-superyacht-directory/sycara-v--58505,Nobiskrug, 68.15m , 2010 , 17kts , 14kts , 7000nm , 12.0m , 12 , 18 
Hermitage,http://www.boatinternational.com/yachts/the-superyacht-directory/hermitage--56983,Lurssen, 68.15m , 2011 , 15kts , 14kts ,, 12.8m , 12 , 18 
Lady S,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-s--72465,Amels, 68.49m , 2006 , 17kts , 15kts , 5500nm , 12.8m , 16 , 22 
Attessa,http://www.boatinternational.com/yachts/the-superyacht-directory/attessa--66633,Feadship, 68.58m , 1998 , 16kts , 13kts , 5000nm , 11.0m , 10 , 15 
Saluzi,http://www.boatinternational.com/yachts/the-superyacht-directory/saluzi--39921,Austal Ships, 69.10m , 2003 , 16kts , 14kts ,, 13.8m , 50 , 42 
Nomad,http://www.boatinternational.com/yachts/the-superyacht-directory/nomad--40987,Oceanfast, 69.49m , 2003 , 18kts , 15kts , 8500nm , 11.58m , 12 , 16 
Sherakhan,http://www.boatinternational.com/yachts/the-superyacht-directory/sherakhan--42623,Vuyk, 69.65m , 1966 , 13kts , 12kts , 3500nm , 12.05m , 26 , 19 
Olivia,http://www.boatinternational.com/yachts/the-superyacht-directory/olivia--61251,Laivateollisuus, 70.00m , 1972 , 15kts , 13kts , 9000nm , 11.87m , 16 , 20 
Freedom,http://www.boatinternational.com/yachts/the-superyacht-directory/freedom--43175,Benetti, 70.00m , 2000 , 16kts , 15kts , 5200nm , 12.5m , 18 , 27 
Nourah of Riyad,http://www.boatinternational.com/yachts/the-superyacht-directory/nourah-of-riyad--48963,Yachtley, 70.00m , 2008 , 19kts , 16kts , 5250nm , 11.04m , 22 , 18 
High Power III,http://www.boatinternational.com/yachts/the-superyacht-directory/high-power-iii--52851,RossiNavi, 70.00m , 2011 , 16kts , 15kts , 5000nm , 13.2m , 12 , 18 
Sybaris,http://www.boatinternational.com/yachts/the-superyacht-directory/sybaris--37787,Perini Navi, 70.00m , 2016 , 17kts , 12kts , 5000nm , 13.24m , 12 , 11 
Galactica Super Nova,http://www.boatinternational.com/yachts/the-superyacht-directory/galactica-super-nova--39217,Heesen Yachts, 70.07m , 2016 , 30kts ,, 4000nm , 11.9m , 12 , 16 
Titania,http://www.boatinternational.com/yachts/the-superyacht-directory/titania--47017,Lurssen, 72.00m , 2006 , 15kts , 14kts , 4000nm , 12.8m , 12 , 22 
Martha Ann,http://www.boatinternational.com/yachts/the-superyacht-directory/martha-ann--60553,Lurssen, 70.20m , 2008 , 15kts , 14kts ,, 12.8m , 12 , 20 
Felix,http://www.boatinternational.com/yachts/the-superyacht-directory/amadeus--62331,Amadeus Yachts, 70.41m , 1969 , 15kts , 14kts , 9500nm , 11.5m , 14 , 19 
Vicky,http://www.boatinternational.com/yachts/the-superyacht-directory/vicky--56913,Turquoise Yachts, 72.60m , 2012 , 17kts , 15kts , 7000nm , 12.0m , 14 , 19 
Skat,http://www.boatinternational.com/yachts/the-superyacht-directory/skat--60591,Lurssen, 70.71m , 2002 , 17kts , 15kts , 3500nm , 13.5m , 10 , 20 
Titania,http://www.boatinternational.com/yachts/the-superyacht-directory/titania--47017,Lurssen, 72.00m , 2006 , 15kts , 14kts , 4000nm , 12.8m , 12 , 22 
The One,http://www.boatinternational.com/yachts/the-superyacht-directory/the-one--47005,Lurssen, 70.68m , 1973 , 28kts , 20kts ,, 9.36m ,,
Enigma XK,http://www.boatinternational.com/yachts/the-superyacht-directory/enigma-xk--58255,Richard Lowestoft, 71.40m , 1987 , 18kts , 16kts , 12000nm , 11.6m , 12 , 21 
Utopia,http://www.boatinternational.com/yachts/the-superyacht-directory/utopia--45703,Feadship, 71.60m , 2004 , 16kts , 14kts , 5000nm , 11.38m , 12 , 17 
Natalina A,http://www.boatinternational.com/yachts/the-superyacht-directory/opari-3--39191,Golden Yachts, 71.85m , 2015 , 19kts , 17kts ,, 12.6m , 16 , 23 
Azteca,http://www.boatinternational.com/yachts/the-superyacht-directory/azteca--68533,CRN, 71.99m , 2009 , 16kts , 15kts , 6000nm , 13.5m , 14 , 28 
Serenity,http://www.boatinternational.com/yachts/the-superyacht-directory/tu-moana--37815,Austal Ships, 72.00m , 2003 , 17kts , 14kts , 2000nm , 13.8m , 32 , 37 
Stella Maris,http://www.boatinternational.com/yachts/the-superyacht-directory/stella-maris--47715,Viareggio Superyachts, 72.10m , 2013 , 17kts , 12kts , 5500nm , 12.6m , 12 , 19 
Elegant 007,http://www.boatinternational.com/yachts/the-superyacht-directory/rm-elegant--46841,Lamda, 72.40m , 2005 , 18kts , 14kts , 3300nm , 12.0m , 30 , 31 
Axioma,http://www.boatinternational.com/yachts/the-superyacht-directory/axioma--45429,Dunya Yachts, 72.50m , 2013 , 18kts , 14kts , 5000nm , 12.2m , 12 , 20 
Coral Ocean,http://www.boatinternational.com/yachts/the-superyacht-directory/coral-island--60581,Lurssen, 72.54m , 1994 , 18kts , 16kts , 5000nm , 13.05m , 12 , 22 
Queen K,http://www.boatinternational.com/yachts/the-superyacht-directory/queen-k--60573,Lurssen, 72.60m , 2004 , 18kts , 16kts , 5000nm , 13.5m , 16 , 22 
Vicky,http://www.boatinternational.com/yachts/the-superyacht-directory/vicky--56913,Turquoise Yachts, 72.60m , 2012 , 17kts , 15kts , 7000nm , 12.0m , 14 , 19 
Predator,http://www.boatinternational.com/yachts/the-superyacht-directory/predator--66725,Feadship, 72.80m , 2008 , 28kts , 21kts ,, 11.4m , 6 , 19 
Yalla’s,http://www.boatinternational.com/yachts/the-superyacht-directory/yalla--57089,CRN, 73.00m , 2014 , 19kts , 18kts , 5500nm , 12.5m , 12 , 22 
Exuma,http://www.boatinternational.com/yachts/the-superyacht-directory/exuma--54321,Perini Navi - Picchiotti, 49.50m , 2010 , 16kts , 12kts , 4500nm , 9.5m , 9 , 9 
Odessa II,http://www.boatinternational.com/yachts/the-superyacht-directory/odessa-ii--73825,Nobiskrug, 73.07m , 2013 , 17kts , 15kts ,, 12.0m , 12 , 20 
Plan B,http://www.boatinternational.com/yachts/the-superyacht-directory/plan-b--73831,Hdw Kiel, 73.07m , 2012 , 17kts , 13kts ,, 12.0m , 31 ,
Laurel,http://www.boatinternational.com/yachts/the-superyacht-directory/laurel--67915,Delta Marine, 73.15m , 2006 , 16kts , 14kts , 6000nm , 12.26m , 40 ,
Triple Seven,http://www.boatinternational.com/yachts/the-superyacht-directory/triple-seven--58513,Nobiskrug, 67.74m , 2006 , 17kts , 15kts , 10000nm , 12.0m , 10 , 18 
Dragonfly,http://www.boatinternational.com/yachts/the-superyacht-directory/dragonfly--65227,Silver Yachts, 73.30m , 2009 , 27kts , 25kts , 4500nm , 10.0m , 18 , 16 
Rabdan,http://www.boatinternational.com/yachts/the-superyacht-directory/rabdan--65235,Silver Yachts, 73.30m , 2007 , 27kts , 25kts , 4500nm , 10.0m , 16 , 16 
Sapphire,http://www.boatinternational.com/yachts/the-superyacht-directory/sapphire--58525,Nobiskrug, 73.50m , 2011 , 17kts , 15kts ,, 12.6m , 12 , 15 
Flying Fox,http://www.boatinternational.com/yachts/the-superyacht-directory/flying-fox--58185,Nobiskrug, 73.51m , 2012 , 14kts , 12kts ,, 12.0m , 12 , 19 
Siren,http://www.boatinternational.com/yachts/the-superyacht-directory/siren--58509,Nobiskrug, 73.50m , 2008 , 17kts , 14kts , 5000nm , 12.6m , 12 , 16 
Ilona,http://www.boatinternational.com/yachts/the-superyacht-directory/ilona-iv--72379,Amels, 73.70m , 2003 , 19kts , 15kts , 6000nm , 12.1m , 20 , 28 
Naia,http://www.boatinternational.com/yachts/the-superyacht-directory/naia--56959,Freire, 73.60m , 2011 , 18kts , 14kts , 10000nm , 13.2m , 15 , 27 
Cocoa Bean,http://www.boatinternational.com/yachts/the-superyacht-directory/cocoa-bean--49797,Trinity Yachts, 73.76m , 2013 ,,,, 12.5m ,, 16 
Global,http://www.boatinternational.com/yachts/the-superyacht-directory/global--47029,Lurssen, 74.00m , 2007 , 16kts , 14kts , 5000nm , 12.8m , 12 , 22 
Dannebrog,http://www.boatinternational.com/yachts/the-superyacht-directory/dannebrog--68311,Danish Royal Dockyard, 83.21m , 1931 , 15kts , 14kts ,, 10.39m ,, 55 
Enigma,http://www.boatinternational.com/yachts/the-superyacht-directory/enigma--73833,Blohm & Voss, 74.50m , 1991 , 36kts , 28kts , 2200nm , 11.22m , 15 , 21 
Leander,http://www.boatinternational.com/yachts/the-superyacht-directory/leander-g--41201,Peene-Werft, 74.98m , 1992 , 18kts , 16kts , 8000nm , 12.8m , 12 , 26 
Enigma,http://www.boatinternational.com/yachts/the-superyacht-directory/phocea--45195,DCAN, 75.13m , 1976 , 14kts , 12kts , 2500nm , 9.57m , 12 , 23 
Talitha,http://www.boatinternational.com/yachts/the-superyacht-directory/talitha--46807,Krupp Germaniawerft, 82.60m , 1930 , 15kts , 13kts , 6500nm , 10.36m , 12 , 18 
Northern Star,http://www.boatinternational.com/yachts/the-superyacht-directory/northern-star--60525,Lurssen, 75.40m , 2009 , 17kts , 15kts , 6000nm , 13.5m , 12 , 22 
Anastasia’s,http://www.boatinternational.com/yachts/the-superyacht-directory/anastasia--55435,Oceanco, 75.50m , 2008 , 18kts , 16kts , 4100nm , 13.47m , 12 , 20 
Ebony Shine,http://www.boatinternational.com/yachts/the-superyacht-directory/ebony-shine--66747,Feadship, 75.75m , 2009 , 16kts , 14kts , 5500nm , 13.6m , 12 , 24 
Lady Sarya,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-sarya--72231,Nuovi Cantieri Apuania, 76.32m , 1972 , 21kts , 16kts , 4300nm , 11.58m , 12 , 28 
Yersin,http://www.boatinternational.com/yachts/the-superyacht-directory/yersin--39453,Piriou, 76.60m , 2015 , 15kts , 11kts , 15000nm , 13.0m , 16 , 28 
Boadicea,http://www.boatinternational.com/yachts/the-superyacht-directory/reborn--44009,Amels, 76.61m , 1999 , 15kts , 14kts , 4200nm , 14.0m , 12 , 25 
Samar,http://www.boatinternational.com/yachts/the-superyacht-directory/samar--45331,Devonport, 77.42m , 2006 , 16kts , 14kts ,, 13.11m , 12 , 25 
Smeralda,http://www.boatinternational.com/yachts/the-superyacht-directory/smeralda--65229,Silver Yachts, 77.00m , 2012 , 27kts , 18kts , 4500nm , 10.0m , 20 , 16 
Silver Fast,http://www.boatinternational.com/yachts/the-superyacht-directory/silver-fast--39425,Silver Yachts, 77.00m , 2015 , 27kts , 22kts ,, 10.0m , 18 ,
Legend,http://www.boatinternational.com/yachts/the-superyacht-directory/legend--46411,IHC Verschure, 77.40m , 1974 , 17kts , 14kts , 15300nm , 13.5m , 26 , 30 
Tango,http://www.boatinternational.com/yachts/the-superyacht-directory/tango--66625,Feadship, 77.70m , 2011 , 21kts , 15kts ,, 12.2m , 14 , 22 
Sea Ranger,http://www.boatinternational.com/yachts/the-superyacht-directory/sea-ranger--52099,Schichau-Unterweser, 77.40m , 1973 , 18kts , 16kts , 31000nm , 13.23m , 10 , 20 
Montkaj,http://www.boatinternational.com/yachts/the-superyacht-directory/montkaj--72489,Amels, 78.03m , 1995 , 18kts , 15kts ,, 12.89m , 26 , 22 
Venus,http://www.boatinternational.com/yachts/the-superyacht-directory/venus--58017,Feadship, 78.20m , 2012 ,,,, 11.8m ,,
M5,http://www.boatinternational.com/yachts/the-superyacht-directory/m5--42625,Vosper Thornycroft, 78.40m , 2004 , 16kts , 14kts , 3500nm , 14.8m , 12 , 14 
Titan,http://www.boatinternational.com/yachts/the-superyacht-directory/titan--72781,Abeking & Rasmussen, 78.43m , 2010 , 16kts , 14kts ,, 12.4m ,,
Eminence,http://www.boatinternational.com/yachts/the-superyacht-directory/eminence--43793,Abeking & Rasmussen, 78.43m , 2008 , 16kts , 14kts , 6000nm , 12.4m , 14 , 19 
Eminence,http://www.boatinternational.com/yachts/the-superyacht-directory/eminence--43793,Abeking & Rasmussen, 78.43m , 2008 , 16kts , 14kts , 6000nm , 12.4m , 14 , 19 
Amaryllis,http://www.boatinternational.com/yachts/the-superyacht-directory/amaryllis--37777,Abeking & Rasmussen, 78.43m , 2011 , 16kts , 14kts , 5500nm , 12.4m , 14 , 19 
Tueq,http://www.boatinternational.com/yachts/the-superyacht-directory/tueq--49543,Van Der Giessen-De-Noord, 77.60m , 2002 , 19kts , 16kts , 5500nm , 13.5m , 30 , 21 
Hampshire II,http://www.boatinternational.com/yachts/the-superyacht-directory/hampshire-ii--58011,Feadship, 78.50m , 2012 , 16kts , 14kts ,, 12.7m , 14 , 23 
Delphine,http://www.boatinternational.com/yachts/the-superyacht-directory/delphine--46015,Great Lakes Ew, 78.55m , 1921 , 13kts , 10kts , 3000nm , 10.82m , 26 , 32 
Pegasus VIII,http://www.boatinternational.com/yachts/the-superyacht-directory/pegasus-viii--52783,Royal Denship, 78.60m , 2003 , 18kts , 17kts , 7000nm , 14.4m , 12 , 26 
